"replicate","truepopsize","afpopsize","genopopsize","rarefreqcutoff","raregeno_mean","raregeno_sd","rarealleles_mean","rarealleles_sd","findgeno_mean","findgeno_sd","findalleles_mean","findalleles_sd"
73,20000,100,50,0.1,0.03456,0.00562487188062709,0.03456,0.00562487188062709,0.00273212379935966,0.00758187243420707,0.0911205976520811,0.0674483291663681
74,20000,100,50,0.1,0.0349,0.00625724070373594,0.0349,0.00625724070373594,0.00262869660460022,0.00806301444360102,0.0867469879518072,0.0619850589861661
75,20000,100,50,0.1,0.0347,0.00553744212666123,0.0347,0.00553744212666123,0.00303162486368593,0.0079827928263798,0.0894002181025082,0.0654725026447933
76,20000,100,50,0.1,0.03264,0.0054539257532945,0.03264,0.0054539257532945,0.0031858407079646,0.00855085618433139,0.0907743362831858,0.0665180344624717
77,20000,100,50,0.1,0.03508,0.00642012143060187,0.03508,0.00642012143060187,0.00296943231441048,0.00776169268514176,0.0878165938864629,0.0660587020594911
78,20000,100,50,0.1,0.03284,0.00570127089304818,0.03284,0.00570127089304818,0.00292629262926293,0.00778398202838615,0.0892189218921892,0.0644866669494936
79,20000,100,50,0.1,0.0352,0.00639515122445697,0.0352,0.00639515122445697,0.00298901098901099,0.0080612267961288,0.0904175824175824,0.0651885757291108
80,20000,100,50,0.1,0.03194,0.00573001406843734,0.03194,0.00573001406843734,0.00297592997811816,0.00771234415855933,0.0909190371991247,0.0612415182562222
81,20000,100,50,0.1,0.03398,0.00514083293497329,0.03398,0.00514083293497329,0.00315325248070562,0.00836407340696831,0.090077177508269,0.0658271752023073
82,20000,100,50,0.1,0.03332,0.00618899616007215,0.03332,0.00618899616007215,0.00293659621802002,0.00785782531562638,0.0904783092324805,0.0652090550012321
83,20000,100,50,0.1,0.03406,0.00448767018323198,0.03406,0.00448767018323198,0.00278508771929825,0.0080425512983362,0.0942763157894737,0.0660648848507393
84,20000,100,50,0.1,0.03492,0.00513030213535226,0.03492,0.00513030213535226,0.00302173913043478,0.00839707998999793,0.0864347826086957,0.0641229953113564
85,20000,100,50,0.1,0.03444,0.00604121896065788,0.03444,0.00604121896065788,0.00292307692307692,0.00848376534037287,0.0914945054945055,0.0662176917300054
86,20000,100,50,0.1,0.03416,0.00618543384385725,0.03416,0.00618543384385725,0.00268398268398268,0.00804535645589482,0.0888095238095238,0.0669137838596221
87,20000,100,50,0.1,0.03468,0.00566565016893337,0.03468,0.00566565016893337,0.00295154185022026,0.00824713827894697,0.0939647577092511,0.0675849489733116
88,20000,100,50,0.1,0.03384,0.00618873235511646,0.03384,0.00618873235511646,0.00303493449781659,0.0081490810166834,0.0922052401746725,0.0672906217521376
89,20000,100,50,0.1,0.03236,0.00451193428813055,0.03236,0.00451193428813055,0.00297826086956522,0.00798799188672364,0.0908260869565217,0.0655318259398012
90,20000,100,50,0.1,0.0332,0.00537568220635051,0.0332,0.00537568220635051,0.00285398230088496,0.00853867014108183,0.0886283185840708,0.0658591664557831
91,20000,100,50,0.1,0.03606,0.00556009836941317,0.03606,0.00556009836941317,0.00295555555555556,0.00793032942758736,0.0917111111111111,0.0647624639709392
92,20000,100,50,0.1,0.03312,0.00490164487177311,0.03312,0.00490164487177311,0.00304017372421281,0.0082546109362536,0.0866015200868621,0.0653274590867447
93,20000,100,50,0.1,0.03104,0.00532977772634515,0.03104,0.00532977772634515,0.00325274725274725,0.00849330728114273,0.0888791208791209,0.0686908597780526
94,20000,100,50,0.1,0.03606,0.00556009836941317,0.03606,0.00556009836941317,0.00252469813391877,0.00739714782367233,0.0897914379802415,0.0648706267298655
95,20000,100,50,0.1,0.03608,0.00579176050919911,0.03608,0.00579176050919911,0.00336633663366337,0.00863471950605386,0.095005500550055,0.065282552368297
96,20000,100,50,0.1,0.03632,0.00632274804631205,0.03632,0.00632274804631205,0.00278918918918919,0.00797750434914176,0.084172972972973,0.0626704802565697
97,20000,100,50,0.1,0.0345,0.00499489535344202,0.0345,0.00499489535344202,0.00265217391304348,0.00785676282867186,0.0875217391304348,0.0656427960706356
98,20000,100,50,0.1,0.0323,0.00582832632537867,0.0323,0.00582832632537867,0.00249448123620309,0.00766440235323304,0.0909271523178808,0.0673493505450726
99,20000,100,50,0.1,0.03404,0.00582380757699613,0.03404,0.00582380757699613,0.0026608505997819,0.00775635565117282,0.0899672846237732,0.0687608587576876
100,20000,100,50,0.1,0.03314,0.00563882315120915,0.03314,0.00563882315120915,0.00252469813391877,0.00763113880372673,0.089549945115258,0.0661177394484809
1,1e+05,100,50,0.1,0.0342,0.00527605294646268,0.0342,0.00527605294646268,0.00302690582959641,0.00805615492441687,0.0883183856502242,0.0653702017398251
2,1e+05,100,50,0.1,0.0354,0.00533375848645556,0.0354,0.00533375848645556,0.00309031556039173,0.00850627756197241,0.0910772578890098,0.0670871828529714
3,1e+05,100,50,0.1,0.03244,0.00622752284751542,0.03244,0.00622752284751542,0.00291390728476821,0.0078316036875257,0.0892494481236203,0.0658047473872563
4,1e+05,100,50,0.1,0.03488,0.00641312429828911,0.03488,0.00641312429828911,0.00323561346362649,0.00831171723208143,0.0921824104234528,0.0664480293410872
5,1e+05,100,50,0.1,0.03252,0.00566132601471581,0.03252,0.00566132601471581,0.00302173913043478,0.00850011618799111,0.089304347826087,0.0668159310543864
6,1e+05,100,50,0.1,0.03344,0.00546663348256064,0.03344,0.00546663348256064,0.00295805739514349,0.00809285928894945,0.0911920529801325,0.0658921987751739
7,1e+05,100,50,0.1,0.03382,0.0057700493401491,0.03382,0.0057700493401491,0.00269613259668508,0.00785807715790363,0.0901878453038674,0.0664596829203228
8,1e+05,100,50,0.1,0.03374,0.00510226040343785,0.03374,0.00510226040343785,0.00250274423710209,0.00725468724111395,0.0881229418221734,0.0669187651741653
9,1e+05,100,50,0.1,0.03458,0.00660268961894179,0.03458,0.00660268961894179,0.00312087912087912,0.00817417000874748,0.0933846153846154,0.0681919198796354
10,1e+05,100,50,0.1,0.03708,0.00573154536271833,0.03708,0.00573154536271833,0.00280353200883002,0.00778715677995177,0.0890728476821192,0.0646710434322973
11,1e+05,100,50,0.1,0.03358,0.00539497120341845,0.03358,0.00539497120341845,0.0023841059602649,0.00681648401176755,0.0920971302428256,0.0671718785915903
12,1e+05,100,50,0.1,0.03452,0.00661241874299057,0.03452,0.00661241874299057,0.00242686890574215,0.00722761437819785,0.0885373781148429,0.0665864748571298
13,1e+05,100,50,0.1,0.03716,0.00597053992020617,0.03716,0.00597053992020617,0.00264608599779493,0.0079213430086715,0.0914663726571114,0.0668029764670945
14,1e+05,100,50,0.1,0.03122,0.00471770438814023,0.03122,0.00471770438814023,0.00295728368017525,0.00808502881003712,0.088236582694414,0.0666858050775091
15,1e+05,100,50,0.1,0.0323,0.00521085993138271,0.0323,0.00521085993138271,0.00253863134657837,0.00735531888600169,0.0862472406181015,0.0661175967091012
16,1e+05,100,50,0.1,0.03348,0.00440889638650522,0.03348,0.00440889638650522,0.0033003300330033,0.00810850222057084,0.0903850385038504,0.0645789926812961
17,1e+05,100,50,0.1,0.03612,0.00537811134438969,0.03612,0.00537811134438969,0.00341935483870968,0.009182191990194,0.0912688172043011,0.0665067378094654
18,1e+05,100,50,0.1,0.0349,0.00661244960630464,0.0349,0.00661244960630464,0.00303769401330377,0.0088442384164545,0.0907760532150776,0.0670419614715002
19,1e+05,100,50,0.1,0.03172,0.00532625380467705,0.03172,0.00532625380467705,0.00259055982436883,0.00780858071375172,0.0894182217343578,0.0656161972224328
20,1e+05,100,50,0.1,0.03332,0.00676557914922956,0.03332,0.00676557914922956,0.00321389793702497,0.00850107807142884,0.089771986970684,0.0663066994226848
21,1e+05,100,50,0.1,0.035,0.00663017222049845,0.035,0.00663017222049845,0.00322791712104689,0.00866941150056042,0.0919302071973828,0.0661040229376232
22,1e+05,100,50,0.1,0.03464,0.00543142781994434,0.03464,0.00543142781994434,0.00292896174863388,0.00827259736012701,0.0898579234972678,0.0652639945341558
23,1e+05,100,50,0.1,0.03306,0.00535060553506206,0.03306,0.00535060553506206,0.003215859030837,0.00892265501236217,0.0894493392070485,0.0658162611449131
24,1e+05,100,50,0.1,0.0326,0.00654653670707977,0.0326,0.00654653670707977,0.00342105263157895,0.00877367055734477,0.090219298245614,0.0686002126608513
25,1e+05,100,50,0.1,0.03726,0.0058302868624073,0.03726,0.0058302868624073,0.00315443592552026,0.00819948814556337,0.0891785323110624,0.0653690929305496
26,1e+05,100,50,0.1,0.03658,0.00531877690405436,0.03658,0.00531877690405436,0.00343169398907104,0.00887701534268246,0.0887213114754098,0.0671032707367797
27,1e+05,100,50,0.1,0.03238,0.00566366867473221,0.03238,0.00566366867473221,0.00298245614035088,0.0085814825850211,0.0840350877192982,0.0645269102654128
28,1e+05,100,50,0.1,0.03408,0.00537887022505276,0.03408,0.00537887022505276,0.00342733188720174,0.00830797212971911,0.0909110629067245,0.0664227462834973
29,1e+05,100,50,0.1,0.03818,0.00639735276883959,0.03818,0.00639735276883959,0.00309549945115258,0.00836467530210319,0.0897475301866081,0.0642372143343077
30,1e+05,100,50,0.1,0.03602,0.00683176852831606,0.03602,0.00683176852831606,0.00268131868131868,0.00766871707533267,0.0924175824175824,0.0677736584332526
31,1e+05,100,50,0.1,0.03312,0.00514142837296074,0.03312,0.00514142837296074,0.00301845819761129,0.00812996913001791,0.088599348534202,0.0643486863452374
32,1e+05,100,50,0.1,0.03476,0.00576958952312087,0.03476,0.00576958952312087,0.00301675977653631,0.00826401247826296,0.0870837988826816,0.0650063558679128
33,1e+05,100,50,0.1,0.03614,0.00616775684425026,0.03614,0.00616775684425026,0.00295404814004376,0.0083478634201954,0.0912472647702407,0.066569665706621
34,1e+05,100,50,0.1,0.03204,0.00592800341513025,0.03204,0.00592800341513025,0.00279475982532751,0.00804668175490105,0.0903056768558952,0.0668569503846281
35,1e+05,100,50,0.1,0.0346,0.00627271382860004,0.0346,0.00627271382860004,0.00246724890829694,0.00756928055768365,0.0867467248908297,0.0645277526617724
36,1e+05,100,50,0.1,0.0348,0.00607436903584837,0.0348,0.00607436903584837,0.00367892976588629,0.00917704894967599,0.0906354515050167,0.066161816248408
37,1e+05,100,50,0.1,0.03192,0.00568506816142076,0.03192,0.00568506816142076,0.00289823008849558,0.00847160831678525,0.0903761061946903,0.0675129463315224
38,1e+05,100,50,0.1,0.0364,0.00560611910581388,0.0364,0.00560611910581388,0.0026,0.00742152118104583,0.0897777777777778,0.0662515813445335
39,1e+05,100,50,0.1,0.03512,0.00598174092466365,0.03512,0.00598174092466365,0.00269441401971522,0.00784804573335207,0.087579408543264,0.0677031583140877
40,1e+05,100,50,0.1,0.03454,0.00490817726672872,0.03454,0.00490817726672872,0.00274553571428571,0.00762574162656641,0.0873883928571429,0.0654770959936417
41,1e+05,100,50,0.1,0.03278,0.0059668813855638,0.03278,0.0059668813855638,0.00338495575221239,0.00855197356317725,0.0920132743362832,0.0675364291239388
42,1e+05,100,50,0.1,0.03402,0.00531263415196765,0.03402,0.00531263415196765,0.00285398230088496,0.00811303898800868,0.0896902654867257,0.0651968080591627
43,1e+05,100,50,0.1,0.0343,0.00482446994021951,0.0343,0.00482446994021951,0.00252448313384113,0.00733149108837783,0.0903373231773667,0.0665406933154509
44,1e+05,100,50,0.1,0.0334,0.00566766697853639,0.0334,0.00566766697853639,0.00307522123893805,0.00830288245694568,0.087787610619469,0.0671090682736796
45,1e+05,100,50,0.1,0.0353,0.00541068481840161,0.0353,0.00541068481840161,0.00319125683060109,0.0087439588432441,0.0918907103825137,0.0672842127515797
46,1e+05,100,50,0.1,0.03342,0.00603760325470501,0.03342,0.00603760325470501,0.0031390134529148,0.00858121315593854,0.0904260089686099,0.0676512987524006
47,1e+05,100,50,0.1,0.03382,0.00556112600549381,0.03382,0.00556112600549381,0.00273029966703663,0.00760726719942406,0.0889012208657048,0.0629868787804875
48,1e+05,100,50,0.1,0.03748,0.00486654552081068,0.03748,0.00486654552081068,0.00298342541436464,0.00817025358010946,0.088353591160221,0.06327394131194
49,1e+05,100,50,0.1,0.0361,0.00613870291424726,0.0361,0.00613870291424726,0.00327904451682953,0.00890147066251554,0.0884473398479913,0.0646014511882921
50,1e+05,100,50,0.1,0.03544,0.00588030264388437,0.03544,0.00588030264388437,0.0029198682766191,0.00799952954552097,0.0894840834248079,0.0663164037454151
51,1e+05,100,50,0.1,0.03296,0.00573553193092081,0.03296,0.00573553193092081,0.00285393258426966,0.00812936816807419,0.0886966292134831,0.0626835939222156
